Project Name,Street Name,Property Type,Transacted Price ($),Area (SQFT),Unit Price ($ PSF),Sale Date,Type of Area,Area (SQM),Unit Price ($ PSM),Tenure,Postal District,Floor Level
LITTLE INDIA CONSERVATION AREA,DESKER ROAD,Shop House,"6,500,000.00","1,053.80","6,168",Aug-23,Land,97.9,"66,394",Freehold,08,-
N.A.,JOO CHIAT ROAD,Shop House,"12,000,000.00","9,493.85","1,264",Aug-23,Strata,882,"13,605",99 yrs lease commencing from 1995,15,01 to 05
N.A.,SIMS AVENUE,Shop House,"8,888,800.00","3,704.97","2,399",Aug-23,Land,344.2,"25,825",Freehold,14,-
N.A.,OPAL CRESCENT,Shop House,"3,400,000.00","1,555.40","2,186",Aug-23,Land,144.5,"23,529",Freehold,12,-
N.A.,LORONG 11 GEYLANG,Shop House,"8,000,000.00","4,152.75","1,926",Aug-23,Land,385.8,"20,736",Freehold,14,-
LITTLE INDIA CONSERVATION AREA,VEERASAMY ROAD,Shop House,"7,000,000.00","1,951.51","3,587",Aug-23,Land,181.3,"38,610",Freehold,08,-
PETAIN ROAD/TYRWHITT ROAD CONSERVATION A,JALAN BESAR,Shop House,"8,888,888.00","1,528.49","5,815",Aug-23,Land,142,"62,598",Freehold,08,-
SERANGOON GARDEN ESTATE,SERANGOON GARDEN WAY,Shop House,"13,500,000.00","2,146.34","6,290",Jul-23,Land,199.4,"67,703",999 yrs lease commencing from 1955,19,-
N.A.,KEONG SAIK ROAD,Shop House,"15,500,000.00","1,066.71","14,531",Jul-23,Land,99.1,"156,408",Freehold,02,-
N.A.,ST. GEORGE'S ROAD,Shop House,"4,900,000.00","1,130.22","4,335",Jul-23,Strata,105,"46,667",Freehold,12,-
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,"8,500,000.00","1,940.75","4,380",Jul-23,Land,180.3,"47,144",199 yrs lease commencing from 2002,14,-
LITTLE INDIA CONSERVATION AREA,UPPER WELD ROAD,Shop House,"4,480,000.00",942.93,"4,751",Jul-23,Land,87.6,"51,142",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,BUFFALO ROAD,Shop House,"4,400,000.00","1,019.35","4,316",Jul-23,Land,94.7,"46,463",99 yrs lease commencing from 1993,08,-
N.A.,OPAL CRESCENT,Shop House,"3,800,000.00","1,699.64","2,236",Jul-23,Land,157.9,"24,066",Freehold,12,-
KAMPONG GLAM CONSERVATION AREA,BUSSORAH STREET,Shop House,"4,800,000.00",724.42,"6,626",Jul-23,Land,67.3,"71,322",99 yrs lease commencing from 2003,07,-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"4,888,888.00",741.64,"6,592",Jul-23,Land,68.9,"70,956",999 yrs lease commencing from 1879,08,-
N.A.,GEYLANG ROAD,Shop House,"30,000,000.00","4,517.65","6,641",Jun-23,Land,419.7,"71,480",Freehold,14,-
N.A.,ONAN ROAD,Shop House,"6,350,000.00","4,726.47","1,343",Jun-23,Land,439.1,"14,461",Freehold,15,-
N.A.,GEYLANG ROAD,Shop House,"3,650,000.00","1,363.80","2,676",Jun-23,Land,126.7,"28,808",Freehold,14,-
SEMBAWANG HILLS ESTATE,CASUARINA ROAD,Shop House,"5,700,000.00","2,005.33","2,842",Jun-23,Land,186.3,"30,596",Freehold,20,-
LITTLE INDIA CONSERVATION AREA,PERAK ROAD,Shop House,"13,080,000.00","2,869.68","4,558",Jun-23,Land,266.6,"49,062",99 yrs lease commencing from 1994,08,-
N.A.,LORONG 17 GEYLANG,Shop House,"2,480,000.00","1,009.66","2,456",Jun-23,Land,93.8,"26,439",Freehold,14,-
LITTLE INDIA CONSERVATION AREA,JALAN BESAR,Shop House,"5,700,000.00","1,143.14","4,986",Jun-23,Land,106.2,"53,672",999 yrs lease commencing from 1878,08,-
LITTLE INDIA CONSERVATION AREA,KERBAU ROAD,Shop House,"3,550,000.00",904.18,"3,926",Jun-23,Land,84,"42,262",99 yrs lease commencing from 1995,08,-
N.A.,OPAL CRESCENT,Shop House,"5,200,000.00","2,461.73","2,112",Jun-23,Land,228.7,"22,737",Freehold,12,-
N.A.,EAST COAST ROAD,Shop House,"8,000,000.00","1,344.42","5,951",Jun-23,Land,124.9,"64,051",Freehold,15,-
N.A.,JOO CHIAT PLACE,Shop House,"4,200,000.00","1,016.12","4,133",Jun-23,Land,94.4,"44,492",Freehold,15,-
LITTLE INDIA CONSERVATION AREA,VEERASAMY ROAD,Shop House,"6,480,000.00","1,596.30","4,059",Jun-23,Land,148.3,"43,695",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,JALAN BESAR,Shop House,"11,000,000.00","1,237.86","8,886",Jun-23,Land,115,"95,652",999 yrs lease commencing from 1926,08,-
DESKER ROAD CONSERVATION AREA,ROWELL ROAD,Shop House,"5,200,000.00","1,190.50","4,368",Jun-23,Land,110.6,"47,016",Freehold,08,-
BLAIR PLAIN CONSERVATION AREA,KAMPONG BAHRU ROAD,Shop House,"6,150,000.00",865.43,"7,106",Jun-23,Land,80.4,"76,493",Freehold,03,-
LITTLE INDIA CONSERVATION AREA,BELILIOS LANE,Shop House,"7,050,000.00","2,203.39","3,200",Jun-23,Land,204.7,"34,441",99 yrs lease commencing from 1995,08,-
GEYLANG CONSERVATION AREA,GEYLANG ROAD,Shop House,"6,500,000.00","1,487.58","4,369",Jun-23,Land,138.2,"47,033",Freehold,14,-
N.A.,SERANGOON ROAD,Shop House,"5,900,000.00","1,266.92","4,657",Jun-23,Land,117.7,"50,127",Freehold,08,-
N.A.,SERANGOON ROAD,Shop House,"5,900,000.00","1,229.25","4,800",Jun-23,Land,114.2,"51,664",Freehold,08,-
LITTLE INDIA CONSERVATION AREA,MADRAS STREET,Shop House,"3,600,000.00",773.93,"4,652",Jun-23,Land,71.9,"50,070",99 yrs lease commencing from 1993,08,-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"4,280,000.00",811.61,"5,273",Jun-23,Land,75.4,"56,764",999 yrs lease commencing from 1859,08,-
LITTLE INDIA CONSERVATION AREA,DUNLOP STREET,Shop House,"4,700,000.00",816.99,"5,753",May-23,Land,75.9,"61,924",999 yrs lease commencing from 1879,08,-
N.A.,JALAN BINGKA,Shop House,"850,000.00","1,097.93",774,May-23,Strata,102,"8,333",99 yrs lease commencing from 1952,21,-
N.A.,UPPER THOMSON ROAD,Shop House,"5,418,888.00","1,569.39","3,453",May-23,Land,145.8,"37,167",Freehold,26,-
