ID,Month Year,Project Name,Street Name,Planning Area,Type of Sale,Price,$psm,Area,Tenure,Contract Date,Property Type,Type Of Area,Floor Level,Region,Postal Sector,Postal District,,,,,,,,,
44422,2022-04,MEGA@WOODLANDS,WOODLANDS CLOSE,Woodlands,Resale,"$825,000 ","$4,911 ",168,30 yrs from 29/09/2014,4/29/2022,Multiple-User Factory,Strata,First Floor,North Region,73,25,,,,,,,,,
44423,2022-04,NORTH LINK BUILDING,ADMIRALTY STREET,Sembawang,Resale,"$900,000 ","$1,867 ",482,60 yrs from 09/10/1999,4/29/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
44424,2022-04,,KIAN TECK DRIVE,Jurong West,Resale,"$18,800,000 ","$1,704 ",11033,30+30 yrs from 16/07/1985,4/29/2022,Single-User Factory,Land,-,West Region,62,22,,,,,,,,,
44408,2022-04,NORTH LINK BUILDING,ADMIRALTY STREET,Sembawang,Resale,"$1,008,000 ","$2,091 ",482,60 yrs from 09/10/1999,4/28/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
44409,2022-04,UNITY CENTRE,BUKIT BATOK CRESCENT,Bukit Batok,Resale,"$758,000 ","$2,669 ",284,60 yrs from 13/03/1997,4/28/2022,Multiple-User Factory,Strata,First Floor,West Region,65,23,,,,,,,,,
44410,2022-04,RUBY INDUSTRIAL COMPLEX,GENTING LANE,Geylang,Resale,"$900,000 ","$7,438 ",121,Freehold,4/28/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,34,13,,,,,,,,,
44411,2022-04,,WOODLANDS INDUSTRIAL PARK E1,Woodlands,Resale,"$8,000,000 ","$8,682 ",922,60 yrs from 09/01/1995,4/28/2022,Single-User Factory,Land,-,North Region,75,27,,,,,,,,,
44412,2022-04,I.BIZ CENTRE,OLD TOH TUCK ROAD,Clementi,Resale,"$633,000 ","$2,425 ",261,30 yrs from 29/06/2011,4/28/2022,Warehouse,Strata,Non-First Floor,West Region,59,21,,,,,,,,,
44413,2022-04,OXLEY BIZHUB,UBI ROAD 1,Geylang,Resale,"$580,000 ","$6,824 ",85,60 yrs from 15/11/2010,4/28/2022,Warehouse,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
44414,2022-04,OXLEY BIZHUB,UBI ROAD 1,Geylang,Resale,"$668,000 ","$7,506 ",89,60 yrs from 15/11/2010,4/28/2022,Warehouse,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
44415,2022-04,NORTH LINK BUILDING,ADMIRALTY STREET,Sembawang,Resale,"$1,000,000 ","$2,075 ",482,60 yrs from 09/10/1999,4/28/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
44416,2022-04,8B @ ADMIRALTY,ADMIRALTY STREET,Sembawang,Resale,"$580,000 ","$3,816 ",152,60 yrs from 09/10/2000,4/28/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
44391,2022-04,LINK@AMK,ANG MO KIO STREET 62,Ang Mo Kio,Resale,"$1,500,000 ","$7,500 ",200,60 yrs from 28/06/2011,4/27/2022,Warehouse,Strata,First Floor,North-East Region,56,20,,,,,,,,,
44392,2022-04,ENTERPRISE 10,ENTERPRISE ROAD,Jurong West,Resale,"$888,000 ","$1,360 ",653,30 yrs from 12/06/2007,4/27/2022,Multiple-User Factory,Strata,-,West Region,62,22,,,,,,,,,
44393,2022-04,APEX @ HENDERSON,HENDERSON ROAD,Bukit Merah,Resale,"$2,525,000 ","$9,980 ",253,Freehold,4/27/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,15,3,,,,,,,,,
44394,2022-04,PIONEER POINT,SOON LEE STREET,Jurong West,Resale,"$350,000 ","$3,933 ",89,30 yrs from 17/10/2011,4/27/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
44395,2022-04,PIONEER POINT,SOON LEE STREET,Jurong West,Resale,"$350,000 ","$3,933 ",89,30 yrs from 17/10/2011,4/27/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
44396,2022-04,PIONEER POINT,SOON LEE STREET,Jurong West,Resale,"$320,000 ","$3,596 ",89,30 yrs from 17/10/2011,4/27/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
44397,2022-04,NOBLE LOGISTICS,TANNERY LANE,Geylang,Resale,"$1,375,668 ","$6,844 ",201,Freehold,4/27/2022,Warehouse,Strata,Non-First Floor,Central Region,34,13,,,,,,,,,
44398,2022-04,UBI TECHPARK,UBI CRESCENT,Geylang,Resale,"$1,034,251 ","$4,788 ",216,60 yrs from 05/07/1997,4/27/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
44399,2022-04,OXLEY BIZHUB,UBI ROAD 1,Geylang,Resale,"$1,160,000 ","$4,754 ",244,60 yrs from 15/11/2010,4/27/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
44400,2022-04,OXLEY BIZHUB,UBI ROAD 1,Geylang,Resale,"$580,000 ","$6,517 ",89,60 yrs from 15/11/2010,4/27/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
44401,2022-04,MEGA@WOODLANDS,WOODLANDS CLOSE,Woodlands,Resale,"$513,000 ","$3,226 ",159,30 yrs from 29/09/2014,4/27/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
44402,2022-04,MEGA@WOODLANDS,WOODLANDS CLOSE,Woodlands,Resale,"$535,000 ","$2,861 ",187,30 yrs from 29/09/2014,4/27/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
44403,2022-04,M-SPACE,MANDAI ESTATE,Sungei Kadut,Resale,"$1,800,000 ","$12,414 ",145,Freehold,4/27/2022,Multiple-User Factory,Strata,First Floor,North Region,72,25,,,,,,,,,
44404,2022-04,,WOODLANDS LOOP,Sembawang,Resale,"$380,000 ","$1,301 ",292,30 yrs from 01/08/1997,4/27/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
44405,2022-04,PIONEER POINT,SOON LEE STREET,Jurong West,Resale,"$290,000 ","$3,258 ",89,30 yrs from 17/10/2011,4/27/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
44406,2022-04,MEGA@WOODLANDS,WOODLANDS CLOSE,Woodlands,Resale,"$549,000 ","$2,936 ",187,30 yrs from 29/09/2014,4/27/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
44407,2022-04,CT HUB 2,LAVENDER STREET,Kallang,Resale,"$968,000 ","$10,756 ",90,63 yrs from 12/01/2012,4/27/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,33,12,,,,,,,,,
44380,2022-04,KAPO FACTORY BUILDING,PLAYFAIR ROAD,Toa Payoh,Resale,"$6,000,000 ","$7,958 ",754,Freehold,4/26/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,36,13,,,,,,,,,
44381,2022-04,NORTH SPRING BIZHUB,YISHUN INDUSTRIAL STREET 1,Yishun,Resale,"$790,000 ","$5,338 ",148,60 yrs from 01/02/2011,4/26/2022,Multiple-User Factory,Strata,First Floor,North Region,76,27,,,,,,,,,
44382,2022-04,NORTHSTAR @ AMK,ANG MO KIO AVENUE 5,Serangoon,Resale,"$1,020,000 ","$5,862 ",174,60 yrs from 01/01/2007,4/26/2022,Multiple-User Factory,Strata,Non-First Floor,North-East Region,56,20,,,,,,,,,
44383,2022-04,NORTHSTAR @ AMK,ANG MO KIO AVENUE 5,Serangoon,Resale,"$630,000 ","$5,164 ",122,60 yrs from 01/01/2007,4/26/2022,Multiple-User Factory,Strata,Non-First Floor,North-East Region,56,20,,,,,,,,,
44384,2022-04,B CENTRAL,BENDEMEER ROAD,Kallang,Resale,"$350,000 ","$1,423 ",246,19 yrs from 26/08/2011,4/26/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,33,12,,,,,,,,,
44385,2022-04,PRESTIGE CENTRE,BUKIT BATOK CRESCENT,Bukit Batok,Resale,"$350,000 ","$5,469 ",64,60 yrs from 13/03/1997,4/26/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,65,23,,,,,,,,,
44386,2022-04,MEGA@WOODLANDS,WOODLANDS CLOSE,Woodlands,Resale,"$955,000 ","$4,013 ",238,30 yrs from 29/09/2014,4/26/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
44387,2022-04,A'POSH BIZHUB,YISHUN INDUSTRIAL STREET 1,Yishun,Resale,"$900,000 ","$5,389 ",167,60 yrs from 26/08/2010,4/26/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,76,27,,,,,,,,,
44388,2022-04,EUNOS TECHPARK,KAKI BUKIT PLACE,Bedok,Resale,"$5,100,000 ","$11,448 ",446,60 yrs from 20/11/1995,4/26/2022,Single-User Factory,Land,-,East Region,41,14,,,,,,,,,
44389,2022-04,SYNERGY @ KB,KAKI BUKIT ROAD 4,Bedok,Resale,"$420,000 ","$3,134 ",134,30 yrs from 20/01/2012,4/26/2022,Multiple-User Factory,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
44390,2022-04,FOODFAB@MANDAI,MANDAI ESTATE,Sungei Kadut,New Sale,"$2,726,000 ","$14,815 ",184,Freehold,4/26/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
44366,2022-04,REVV,CORPORATION DRIVE,Jurong West,Resale,"$1,000,000 ","$5,952 ",168,30 yrs from 22/01/2019,4/25/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,61,22,,,,,,,,,
44367,2022-04,EUNOS TECHPARK,KAKI BUKIT PLACE,Bedok,Resale,"$560,000 ","$4,553 ",123,60 yrs from 20/11/1995,4/25/2022,Multiple-User Factory,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
44368,2022-04,TECHNIQUES CENTRE,UBI CRESCENT,Geylang,Resale,"$520,000 ","$4,952 ",105,60 yrs from 05/07/1997,4/25/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
44369,2022-04,PREMIER @ KAKI BUKIT,KAKI BUKIT AVENUE 4,Bedok,Resale,"$535,000 ","$5,245 ",102,60 yrs from 15/12/2010,4/25/2022,Multiple-User Factory,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
44370,2022-04,UBI TECHPARK,UBI CRESCENT,Geylang,Resale,"$888,888 ","$5,260 ",169,60 yrs from 05/07/1997,4/25/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
44371,2022-04,PREMIER @ KAKI BUKIT,KAKI BUKIT AVENUE 4,Bedok,Resale,"$535,000 ","$5,245 ",102,60 yrs from 15/12/2010,4/25/2022,Multiple-User Factory,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
44372,2022-04,T-SPACE,TAMPINES NORTH DRIVE 1,Tampines,Resale,"$658,000 ","$4,329 ",152,30 yrs from 20/03/2015,4/25/2022,Multiple-User Factory,Strata,Non-First Floor,East Region,52,18,,,,,,,,,
44373,2022-04,NORTH POINT BIZHUB,YISHUN INDUSTRIAL STREET 1,Yishun,Resale,"$683,000 ","$2,776 ",246,57 yrs from 18/09/2012,4/25/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,76,27,,,,,,,,,
44374,2022-04,CENDEX CENTRE,LOWER DELTA ROAD,Bukit Merah,Resale,"$1,460,000 ","$6,986 ",209,60 yrs from 21/03/2005,4/25/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,16,3,,,,,,,,,
44375,2022-04,MIDVIEW CITY,SIN MING LANE,Bishan,Resale,"$786,000 ","$5,955 ",132,60 yrs from 23/01/2008,4/25/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,57,20,,,,,,,,,
44376,2022-04,INNOVATION PLACE,MANDAI ESTATE,Sungei Kadut,Resale,"$830,000 ","$6,241 ",133,Freehold,4/25/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
44377,2022-04,OXLEY BIZHUB,UBI ROAD 1,Geylang,Resale,"$590,000 ","$6,413 ",92,60 yrs from 15/11/2010,4/25/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
44378,2022-04,WOODLANDS HORIZON,WOODLANDS CLOSE,Woodlands,Resale,"$672,000 ","$4,226 ",159,60 yrs from 29/02/2012,4/25/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
44379,2022-04,NORTH LINK BUILDING,ADMIRALTY STREET,Sembawang,Resale,"$900,000 ","$1,867 ",482,60 yrs from 09/10/1999,4/25/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
44356,2022-04,GOLDEN WALL FLATTED FACTORY,JALAN RAJAH,Novena,Resale,"$1,240,000 ","$9,394 ",132,Freehold,4/22/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,32,12,,,,,,,,,
44357,2022-04,LINK@AMK,ANG MO KIO STREET 62,Ang Mo Kio,Resale,"$958,000 ","$4,790 ",200,60 yrs from 28/06/2011,4/22/2022,Multiple-User Factory,Strata,Non-First Floor,North-East Region,56,20,,,,,,,,,
44358,2022-04,FOOD XCHANGE @ ADMIRALTY,ADMIRALTY STREET,Sembawang,Resale,"$1,380,000 ","$5,227 ",264,60 yrs from 09/10/2000,4/22/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
44359,2022-04,NASACO TECH CENTRE,CHANGI SOUTH AVENUE 2,Tampines,Resale,"$30,800,000 ","$2,810 ",10961,30+30 yrs from 16/02/1998,4/22/2022,Single-User Factory,Land,-,East Region,48,16,,,,,,,,,
44360,2022-04,FOODFAB@MANDAI,MANDAI ESTATE,Sungei Kadut,New Sale,"$2,619,540 ","$15,142 ",173,Freehold,4/22/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
44361,2022-04,LINER,TUAS BAY CLOSE,Tuas,Resale,"$3,026,000 ","$3,961 ",764,30 yrs from 25/07/2018,4/22/2022,Multiple-User Factory,Strata,First Floor,West Region,63,22,,,,,,,,,
44362,2022-04,MEGA@WOODLANDS,WOODLANDS CLOSE,Woodlands,Resale,"$610,000 ","$2,947 ",207,30 yrs from 29/09/2014,4/22/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
44363,2022-04,TUAS BAY INDUSTRIAL CENTRE,TUAS SOUTH AVENUE 2,Tuas,Resale,"$1,300,000 ","$2,196 ",592,60 yrs from 08/04/2000,4/22/2022,Multiple-User Factory,Strata,-,West Region,63,22,,,,,,,,,
44364,2022-04,VERTEX,UBI AVENUE 3,Geylang,Resale,"$760,000 ","$5,588 ",136,60 yrs from 01/01/2007,4/22/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
44365,2022-04,VERTEX,UBI AVENUE 3,Geylang,Resale,"$778,888 ","$5,372 ",145,60 yrs from 01/01/2007,4/22/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
44344,2022-04,DEFU INDUSTRIAL ESTATE,DEFU LANE 10,Hougang,Resale,"$6,300,000 ","$1,626 ",3875,30 yrs from 01/10/2012,4/21/2022,Single-User Factory,Land,-,North-East Region,53,19,,,,,,,,,
44345,2022-04,TECHNIQUES CENTRE,UBI CRESCENT,Geylang,Resale,"$608,000 ","$5,025 ",121,60 yrs from 05/07/1997,4/21/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
44346,2022-04,ONE PEMIMPIN,PEMIMPIN DRIVE,Bishan,Resale,"$1,220,000 ","$11,402 ",107,999 yrs from 06/07/1885,4/21/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,57,20,,,,,,,,,
44347,2022-04,MIDVIEW CITY,SIN MING LANE,Bishan,Resale,"$890,000 ","$5,855 ",152,60 yrs from 23/01/2008,4/21/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,57,20,,,,,,,,,
44348,2022-04,A'POSH BIZHUB,YISHUN INDUSTRIAL STREET 1,Yishun,Resale,"$640,000 ","$6,275 ",102,60 yrs from 26/08/2010,4/21/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,76,27,,,,,,,,,
44349,2022-04,NORTH LINK BUILDING,ADMIRALTY STREET,Sembawang,Resale,"$985,000 ","$2,044 ",482,60 yrs from 09/10/1999,4/21/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
44350,2022-04,NORDCOM ONE,GAMBAS CRESCENT,Sembawang,Resale,"$380,000 ","$2,468 ",154,30 yrs from 20/01/2014,4/21/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
44351,2022-04,T-SPACE,TAMPINES NORTH DRIVE 1,Tampines,Resale,"$755,000 ","$3,701 ",204,30 yrs from 20/03/2015,4/21/2022,Multiple-User Factory,Strata,First Floor,East Region,52,18,,,,,,,,,
44352,2022-04,MIDVIEW CITY,SIN MING LANE,Bishan,Resale,"$758,000 ","$5,453 ",139,60 yrs from 23/01/2008,4/21/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,57,20,,,,,,,,,
44353,2022-04,FOODFAB@MANDAI,MANDAI ESTATE,Sungei Kadut,New Sale,"$3,102,000 ","$16,859 ",184,Freehold,4/21/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
44354,2022-04,FOODFAB@MANDAI,MANDAI ESTATE,Sungei Kadut,New Sale,"$2,780,000 ","$15,109 ",184,Freehold,4/21/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
44355,2022-04,LINK@AMK,ANG MO KIO STREET 62,Ang Mo Kio,Resale,"$1,120,000 ","$5,600 ",200,60 yrs from 28/06/2011,4/21/2022,Multiple-User Factory,Strata,Non-First Floor,North-East Region,56,20,,,,,,,,,
44335,2022-04,NORTH SPRING BIZHUB,YISHUN INDUSTRIAL STREET 1,Yishun,Resale,"$4,800,000 ","$4,688 ",1024,60 yrs from 01/02/2011,4/20/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,76,27,,,,,,,,,
44336,2022-04,CITILINK WAREHOUSE COMPLEX,PASIR PANJANG ROAD,Queenstown,Resale,"$1,810,000 ","$10,523 ",172,Freehold,4/20/2022,Warehouse,Strata,Non-First Floor,Central Region,11,5,,,,,,,,,
44337,2022-04,UBI TECHPARK,UBI CRESCENT,Geylang,Resale,"$850,000 ","$5,944 ",143,60 yrs from 05/07/1997,4/20/2022,Multiple-User Factory,Strata,First Floor,Central Region,40,14,,,,,,,,,
44338,2022-04,PAYA UBI INDUSTRIAL PARK,UBI AVENUE 1,Geylang,Resale,"$1,620,000 ","$2,559 ",633,60 yrs from 10/03/1997,4/20/2022,Multiple-User Factory,Strata,First Floor,Central Region,40,14,,,,,,,,,
44339,2022-04,WCEGA TOWER,BUKIT BATOK CRESCENT,Bukit Batok,Resale,"$470,000 ","$5,281 ",89,60 yrs from 13/03/1997,4/20/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,65,23,,,,,,,,,
44340,2022-04,UNITY CENTRE,BUKIT BATOK CRESCENT,Bukit Batok,Resale,"$1,350,000 ","$2,948 ",458,60 yrs from 13/03/1997,4/20/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,65,23,,,,,,,,,
44341,2022-04,WEST CONNECT BUILDING,BUROH STREET,Boon Lay,Resale,"$519,600 ","$3,168 ",164,30 yrs from 29/04/2013,4/20/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
44342,2022-04,ASCENT @ GAMBAS,GAMBAS WAY,Sembawang,New Sale,"$1,038,000 ","$4,185 ",248,30 yrs from 23/09/2019,4/20/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
44343,2022-04,ASCENT @ GAMBAS,GAMBAS WAY,Sembawang,New Sale,"$682,000 ","$4,084 ",167,30 yrs from 23/09/2019,4/20/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
44322,2022-04,WCEGA TOWER,BUKIT BATOK CRESCENT,Bukit Batok,Resale,"$810,000 ","$4,426 ",183,60 yrs from 13/03/1997,4/19/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,65,23,,,,,,,,,
44323,2022-04,CENDEX CENTRE,LOWER DELTA ROAD,Bukit Merah,Resale,"$990,000 ","$6,923 ",143,60 yrs from 21/03/2005,4/19/2022,Multiple-User Factory,Strata,First Floor,Central Region,16,3,,,,,,,,,
44324,2022-04,PIONEER POINT,SOON LEE STREET,Jurong West,Resale,"$303,000 ","$3,061 ",99,30 yrs from 17/10/2011,4/19/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
44325,2022-04,PAN MALAYAN WAREHOUSE,UBI AVENUE 4,Geylang,Resale,"$2,415,000 ","$3,149 ",767,60 yrs from 08/11/1982,4/19/2022,Warehouse,Strata,-,Central Region,40,14,,,,,,,,,
44326,2022-04,9 @ TAGORE,TAGORE LANE,Ang Mo Kio,Resale,"$1,400,000 ","$4,375 ",320,Freehold,4/19/2022,Multiple-User Factory,Strata,Non-First Floor,North-East Region,78,26,,,,,,,,,
44327,2022-04,MULTI-WIDE INDUSTRIAL BUILDING,MANDAI ESTATE,Sungei Kadut,Resale,"$370,000 ","$7,255 ",51,Freehold,4/19/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
44328,2022-04,APEX @ HENDERSON,HENDERSON ROAD,Bukit Merah,Resale,"$2,270,000 ","$8,972 ",253,Freehold,4/19/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,15,3,,,,,,,,,
44329,2022-04,KAPO FACTORY BUILDING,PLAYFAIR ROAD,Toa Payoh,Resale,"$850,000 ","$8,947 ",95,Freehold,4/19/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,36,13,,,,,,,,,
44330,2022-04,VERTEX,UBI AVENUE 3,Geylang,Resale,"$1,650,000 ","$5,670 ",291,60 yrs from 01/01/2007,4/19/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
44331,2022-04,UBI CENTRE,UBI AVENUE 1,Geylang,Resale,"$482,688 ","$4,511 ",107,60 yrs from 10/03/1997,4/19/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
44332,2022-04,WEST CONNECT BUILDING,BUROH STREET,Boon Lay,Resale,"$530,400 ","$3,234 ",164,30 yrs from 29/04/2013,4/19/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
44333,2022-04,UBI TECHPARK,UBI CRESCENT,Geylang,Resale,"$980,000 ","$5,269 ",186,60 yrs from 05/07/1997,4/19/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
44334,2022-04,EUNOS TECHNOLINK,KAKI BUKIT ROAD 1,Bedok,Resale,"$1,080,000 ","$3,763 ",287,60 yrs from 09/07/1996,4/19/2022,Multiple-User Factory,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
44310,2022-04,PRIMZ BIZHUB,WOODLANDS CLOSE,Woodlands,Resale,"$550,000 ","$5,288 ",104,60 yrs from 27/09/2011,4/18/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
44311,2022-04,SYNERGY @ KB,KAKI BUKIT ROAD 4,Bedok,Resale,"$580,000 ","$4,265 ",136,30 yrs from 20/01/2012,4/18/2022,Multiple-User Factory,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
44312,2022-04,PAYA UBI INDUSTRIAL PARK,UBI AVENUE 1,Geylang,Resale,"$588,000 ","$3,607 ",163,60 yrs from 10/03/1997,4/18/2022,Multiple-User Factory,Strata,First Floor,Central Region,40,14,,,,,,,,,
44313,2022-04,WOODLANDS INDUSTRIAL XCHANGE,WOODLANDS AVENUE 10,Sembawang,Resale,"$480,000 ","$3,000 ",160,30 yrs from 29/04/2013,4/18/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
44314,2022-04,PAYA UBI INDUSTRIAL PARK,UBI AVENUE 1,Geylang,Resale,"$1,100,000 ","$2,296 ",479,60 yrs from 10/03/1997,4/18/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
44315,2022-04,NORTH SPRING BIZHUB,YISHUN INDUSTRIAL STREET 1,Yishun,Resale,"$660,000 ","$4,615 ",143,60 yrs from 01/02/2011,4/18/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,76,27,,,,,,,,,
44316,2022-04,,KIAN TECK CRESCENT,Jurong West,Resale,"$10,800,000 ","$2,640 ",4091,30+19 yrs from 01/06/1993,4/18/2022,Single-User Factory,Land,-,West Region,62,22,,,,,,,,,
44317,2022-04,,GENTING ROAD,Geylang,Resale,"$9,900,000 ","$24,390 ",406,Freehold,4/18/2022,Single-User Factory,Land,-,Central Region,34,13,,,,,,,,,
44318,2022-04,,UBI CRESCENT,Geylang,Resale,"$4,700,000 ","$11,172 ",421,60 yrs from 05/07/1997,4/18/2022,Single-User Factory,Land,-,Central Region,40,14,,,,,,,,,
44319,2022-04,MEGA@WOODLANDS,WOODLANDS CLOSE,Woodlands,Resale,"$650,000 ","$4,088 ",159,30 yrs from 29/09/2014,4/18/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,73,25,,,,,,,,,
44320,2022-04,NORTH LINK BUILDING,ADMIRALTY STREET,Sembawang,Resale,"$1,050,000 ","$2,178 ",482,60 yrs from 09/10/1999,4/18/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
44321,2022-04,NORTH LINK BUILDING,ADMIRALTY STREET,Sembawang,Resale,"$1,180,000 ","$1,855 ",636,60 yrs from 09/10/1999,4/18/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
44309,2022-04,NORTHSTAR @ AMK,ANG MO KIO AVENUE 5,Serangoon,Resale,"$930,000 ","$5,138 ",181,60 yrs from 01/01/2007,4/15/2022,Multiple-User Factory,Strata,Non-First Floor,North-East Region,56,20,,,,,,,,,
44292,2022-04,ISPACE,SOON LEE STREET,Jurong West,Resale,"$1,200,000 ","$4,348 ",276,30 yrs from 05/03/2012,4/14/2022,Multiple-User Factory,Strata,First Floor,West Region,62,22,,,,,,,,,
44293,2022-04,,TUAS AVENUE 9,Tuas,Resale,"$3,550,000 ","$2,506 ",1417,30+30 yrs from 16/03/1994,4/14/2022,Single-User Factory,Land,-,West Region,63,22,,,,,,,,,
44294,2022-04,VERTEX,UBI AVENUE 3,Geylang,Resale,"$1,006,800 ","$4,840 ",208,60 yrs from 01/01/2007,4/14/2022,Warehouse,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
44295,2022-04,T-SPACE,TAMPINES NORTH DRIVE 1,Tampines,Resale,"$640,000 ","$4,211 ",152,30 yrs from 20/03/2015,4/14/2022,Multiple-User Factory,Strata,Non-First Floor,East Region,52,18,,,,,,,,,
44296,2022-04,PIONEER CENTRE,SOON LEE STREET,Jurong West,Resale,"$440,000 ","$2,472 ",178,30 yrs from 10/03/2010,4/14/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
44297,2022-04,PIONEER CENTRE,SOON LEE STREET,Jurong West,Resale,"$440,000 ","$2,458 ",179,30 yrs from 10/03/2010,4/14/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
