ID,Month Year,Project Name,Street Name,Planning Area,Type of Sale,Price,$psm,Area,Tenure,Contract Date,Property Type,Type Of Area,Floor Level,Region,Postal Sector,Postal District,,,,,,,,,
50649,2022-12,FOOD VISION @ MANDAI,MANDAI ESTATE,Sungei Kadut,New Sale,"$2,261,000 ","$14,131 ",160,Freehold,12/28/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
50650,2022-12,WCEGA TOWER,BUKIT BATOK CRESCENT,Bukit Batok,Resale,"$630,000 ","$5,727 ",110,60 yrs from 13/03/1997,12/28/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,65,23,,,,,,,,,
50651,2022-12,FOOD VISION @ MANDAI,MANDAI ESTATE,Sungei Kadut,New Sale,"$2,752,000 ","$17,200 ",160,Freehold,12/28/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
50652,2022-12,UBI TECHPARK,UBI CRESCENT,Geylang,Resale,"$1,000,000 ","$5,348 ",187,60 yrs from 05/07/1997,12/28/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
50653,2022-12,FOOD VISION @ MANDAI,MANDAI ESTATE,Sungei Kadut,New Sale,"$2,422,000 ","$15,138 ",160,Freehold,12/28/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
50654,2022-12,FOOD VISION @ MANDAI,MANDAI ESTATE,Sungei Kadut,New Sale,"$2,422,000 ","$15,138 ",160,Freehold,12/28/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
50655,2022-12,,CHANGI SOUTH STREET 1,Tampines,Resale,"$5,800,000 ","$2,438 ",2379,30+30 yrs from 16/07/1996,12/27/2022,Single-User Factory,Land,-,East Region,48,16,,,,,,,,,
50656,2022-12,FOOD VISION @ MANDAI,MANDAI ESTATE,Sungei Kadut,New Sale,"$2,621,000 ","$16,381 ",160,Freehold,12/27/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
50657,2022-12,MIDVIEW CITY,SIN MING LANE,Bishan,Resale,"$818,800 ","$5,891 ",139,60 yrs from 23/01/2008,12/27/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,57,20,,,,,,,,,
50658,2022-12,FOOD VISION @ MANDAI,MANDAI ESTATE,Sungei Kadut,New Sale,"$2,283,000 ","$14,269 ",160,Freehold,12/27/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
50659,2022-12,MANDAI CONNECTION,MANDAI LINK,Sungei Kadut,Resale,"$528,000 ","$3,363 ",157,30 yrs from 20/11/2012,12/27/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,72,25,,,,,,,,,
50660,2022-12,ONE COMMONWEALTH,COMMONWEALTH LANE,Queenstown,Resale,"$1,070,000 ","$4,038 ",265,30 yrs from 01/03/2008,12/27/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,14,3,,,,,,,,,
50661,2022-12,PIONEER JUNCTION,SOON LEE STREET,Jurong West,Resale,"$320,000 ","$2,783 ",115,30 yrs from 07/03/2011,12/27/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,62,22,,,,,,,,,
50662,2022-12,GORDON WAREHOUSE BUILDING,KAKI BUKIT ROAD 2,Bedok,Resale,"$1,572,000 ","$2,168 ",725,60 yrs from 25/07/1981,12/27/2022,Warehouse,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
50663,2022-12,GORDON WAREHOUSE BUILDING,KAKI BUKIT ROAD 2,Bedok,Resale,"$351,000 ","$2,167 ",162,60 yrs from 25/07/1981,12/27/2022,Warehouse,Strata,Non-First Floor,East Region,41,14,,,,,,,,,
50664,2022-12,LHK 2,PLAYFAIR ROAD,Toa Payoh,Resale,"$1,910,000 ","$9,745 ",196,Freehold,12/23/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,36,13,,,,,,,,,
50665,2022-12,WAVE9,WOODLANDS INDUSTRIAL PARK E9,Woodlands,Resale,"$747,000 ","$3,952 ",189,30 yrs from 05/06/2014,12/23/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
50666,2022-12,WAVE9,WOODLANDS INDUSTRIAL PARK E9,Woodlands,Resale,"$679,000 ","$3,971 ",171,30 yrs from 05/06/2014,12/23/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
50667,2022-12,WAVE9,WOODLANDS INDUSTRIAL PARK E9,Woodlands,Resale,"$639,000 ","$3,920 ",163,30 yrs from 05/06/2014,12/23/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
50668,2022-12,LW TECHNOCENTRE,TOH GUAN ROAD EAST,Clementi,Resale,"$360,000 ","$2,647 ",136,60 yrs from 01/12/1997,12/23/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,60,22,,,,,,,,,
50669,2022-12,TAGORE 8,TAGORE INDUSTRIAL AVENUE,Ang Mo Kio,Resale,"$2,078,815 ","$4,725 ",440,Freehold,12/23/2022,Multiple-User Factory,Strata,Non-First Floor,North-East Region,78,26,,,,,,,,,
50670,2022-12,TAGORE 8,TAGORE INDUSTRIAL AVENUE,Ang Mo Kio,Resale,"$1,771,185 ","$4,723 ",375,Freehold,12/23/2022,Multiple-User Factory,Strata,Non-First Floor,North-East Region,78,26,,,,,,,,,
50671,2022-12,PANTECH BUSINESS HUB,PANDAN LOOP,Clementi,Resale,"$3,157,000 ","$6,352 ",497,99 yrs from 27/01/1984,12/22/2022,Multiple-User Factory,Strata,First Floor,West Region,12,5,,,,,,,,,
50672,2022-12,MEGA@WOODLANDS,WOODLANDS CLOSE,Woodlands,Resale,"$692,000 ","$4,272 ",162,30 yrs from 29/09/2014,12/22/2022,Multiple-User Factory,Strata,First Floor,North Region,73,25,,,,,,,,,
50673,2022-12,UB POINT,UBI AVENUE 1,Geylang,Resale,"$567,000 ","$4,846 ",117,60 yrs from 10/03/1997,12/22/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,40,14,,,,,,,,,
50674,2022-12,NORTHSTAR @ AMK,ANG MO KIO AVENUE 5,Serangoon,Resale,"$525,000 ","$6,646 ",79,60 yrs from 01/01/2007,12/22/2022,Multiple-User Factory,Strata,Non-First Floor,North-East Region,56,20,,,,,,,,,
50675,2022-12,THE COMMERZE@IRVING,IRVING PLACE,Toa Payoh,Resale,"$720,000 ","$7,347 ",98,60 yrs from 26/09/2011,12/22/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,36,13,,,,,,,,,
50676,2022-12,CITITECH INDUSTRIAL BUILDING,ALJUNIED ROAD,Geylang,Resale,"$1,050,000 ","$8,824 ",119,Freehold,12/22/2022,Multiple-User Factory,Strata,Non-First Floor,Central Region,38,14,,,,,,,,,
50677,2022-12,PRESTIGE CENTRE,BUKIT BATOK CRESCENT,Bukit Batok,Resale,"$425,000 ","$5,120 ",83,60 yrs from 13/03/1997,12/22/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,65,23,,,,,,,,,
50678,2022-12,NORTH LINK BUILDING,ADMIRALTY STREET,Sembawang,Resale,"$1,200,000 ","$2,490 ",482,60 yrs from 09/10/1999,12/21/2022,Multiple-User Factory,Strata,Non-First Floor,North Region,75,27,,,,,,,,,
50679,2022-12,WCEGA TOWER,BUKIT BATOK CRESCENT,Bukit Batok,Resale,"$600,000 ","$6,000 ",100,60 yrs from 13/03/1997,12/21/2022,Multiple-User Factory,Strata,Non-First Floor,West Region,65,23,,,,,,,,,
