Postal District,Floor Level,Floor Area (SQM),25th Percentile ($ PSM),Median ($PSM),75th Percentile ($PSM),Reference Period
01,Level 4 & Above,>100 - 300,76.61,88.94,114.86,2022Q3
01,B1 & Below,30 & Below,71.14,113.50,252.95,2022Q4
01,B1 & Below,>30 - 100,61.07,89.42,168.17,2022Q4
01,B1 & Below,>100 - 300,77.77,155.86,233.75,2022Q4
01,B1 & Below,>300,36.80,61.04,61.29,2022Q4
01,Level 1,30 & Below,127.98,201.39,336.92,2022Q4
01,Level 1,>30 - 100,94.92,146.42,261.91,2022Q4
01,Level 1,>100 - 300,75.61,101.33,151.25,2022Q4
01,Level 1,>300,64.28,94.10,130.05,2022Q4
01,Level 2 & 3,30 & Below,56.97,112.31,159.17,2022Q4
01,Level 2 & 3,>30 - 100,58.58,81.08,113.70,2022Q4
01,Level 2 & 3,>100 - 300,39.60,87.53,129.17,2022Q4
01,Level 2 & 3,>300,38.72,50.99,104.11,2022Q4
01,Level 4 & Above,30 & Below,157.23,162.00,"1,648.50",2022Q4
01,Level 4 & Above,>30 - 100,71.55,74.14,78.02,2022Q4
01,Level 4 & Above,>100 - 300,33.33,45.65,67.47,2022Q4
01,Level 4 & Above,>300,103.62,107.64,134.55,2022Q4
01,B1 & Below,30 & Below,65.79,108.95,283.04,2023Q1
01,B1 & Below,>30 - 100,75.76,118.18,201.96,2023Q1
01,B1 & Below,>100 - 300,81.30,136.93,235.73,2023Q1
01,B1 & Below,>300,49.56,50.73,310.58,2023Q1
01,Level 1,30 & Below,146.27,225.00,291.67,2023Q1
01,Level 1,>30 - 100,96.87,150.67,196.26,2023Q1
01,Level 1,>100 - 300,83.68,128.28,156.27,2023Q1
01,Level 1,>300,73.81,120.43,185.67,2023Q1
01,Level 2 & 3,30 & Below,73.28,111.56,177.04,2023Q1
01,Level 2 & 3,>30 - 100,59.64,79.11,124.29,2023Q1
01,Level 2 & 3,>100 - 300,53.14,78.31,120.04,2023Q1
01,Level 2 & 3,>300,48.44,57.05,109.54,2023Q1
01,Level 4 & Above,30 & Below,50.05,66.67,75.55,2023Q1
01,Level 4 & Above,>30 - 100,66.78,71.65,82.83,2023Q1
01,Level 4 & Above,>100 - 300,66.31,75.34,92.76,2023Q1
01,B1 & Below,30 & Below,86.10,194.44,343.54,2023Q2
01,B1 & Below,>30 - 100,92.09,115.45,162.58,2023Q2
01,B1 & Below,>100 - 300,83.13,179.92,355.15,2023Q2
01,B1 & Below,>300,52.40,134.01,317.55,2023Q2
01,Level 1,30 & Below,103.02,143.09,220.04,2023Q2
01,Level 1,>30 - 100,102.83,169.86,234.59,2023Q2
01,Level 1,>100 - 300,88.60,129.63,183.18,2023Q2
01,Level 1,>300,99.17,117.12,214.64,2023Q2
01,Level 2 & 3,30 & Below,71.36,118.18,175.98,2023Q2
01,Level 2 & 3,>30 - 100,77.39,112.07,174.76,2023Q2
01,Level 2 & 3,>100 - 300,64.55,86.08,139.93,2023Q2
